边,边
不但,而且
不但,连
连,也
不但不,反而
不是,便是
不是,而是
不是,就是
不是,乃是
还,便
还,但
还,但是
还,都
还,还
还,何况
还,就
还,可
还,可是
还,却
还,却
还,也
还,又
还没,就
还没有,就
还没,却又
还没,已经
还没有,已经
还未,已
还是,还是
忽,忽
忽而,忽而
或,或
或是,或是
或则,或则
或者,或者
即,也
即便,也
即或,也
即令,也
即使,但
但,也
即使,但是
但是,也
即使,都
即使,还
即使,还是
即使,仍然
即使,也
即使,总
既,便
既,更
既,就
既,那么
既,那
既,且
既,却又
既,也
既,亦
既,又
既,则
既然,便
既然,还是
既然,就
既然,可见
既然,那
既然,那么
既然,也
既然,因而
既然,则
既然,总
既是,就
假如,便
假如,的话
假如,就
假如,那么
假如,则
假若,的话
假若,就
假若,那么
假使,就
假使,那
假使,那么
仅,就
仅仅,就
尽管,但是
尽管,但
尽管,但是
尽管,但
但是,却
但,却
尽管,还是
尽管,还
尽管,可是
尽管,可
尽管,却
尽管,也
就,也
就是,也
就算,也
开头,后来
可是,却
连,带
连,都
连,都
连,还
连,也
连,也
慢说,即使
慢说,就是
慢说,连
没,便
没动,便
没,就
没动,就
没,没
没,也没
没有,也没有
没有,只有
每,都
每,就
每,总
每当,便
每当,就
每当,总
每逢,便
每逢,都
每逢,就
每逢,就
每逢,总
哪怕,都
哪怕,还
哪怕,还是
哪怕,也
宁可,也不
宁可,决不
宁可,也要
宁肯,也不
宁肯,也要
宁愿,也不
怕,才
怕,就
怕,所以
起初,后来
起初,继而
起初,现在
起先,后来
且,且
然而,却
任,也
任凭,都
任凭,还是
任凭,可是
任凭,然而
任凭,也
任是,也
如,那
如,则
如果,的话
如果,的话
如果,的话，
如果,的话，那
如果,就
如果,那
如果,那就
如果,那么
如果,则
若,便
若,那就
若,那么
若,则
若是,就
上面,下面
尚未,就
尚且,何况
时而,时而
始而,继而
是,不是
是,而不是
是,还是
是,还是
还是,抑或是
是,或是
是,是
首先,接着
首先,其次
首先,然后
说是,其实是
虽,但
虽,倒
虽,而
虽,却
虽,然
虽,然而
虽然,不过
虽然,但是
虽然,但
但是,却
但,却
虽然,倒
虽然,而
虽然,然而
而,却
然而,却
虽然,还
虽然,还是
虽然,可
虽然,可是
可是,却
可,却
虽然,却
虽然,也
虽是,但
虽是,但是
虽是,可是
虽是,可惜
虽是,却
虽是,然
虽是,然而
虽说,但是
虽说,但
但是,却
但,却
虽说,还是
虽说,可是
虽说,可
虽说,却
虽说,然而
虽说,也
虽则,但
虽则,但是
虽则,可是
虽则,可
虽则,却
随,随
所以,就是
所以,就是因为
所以,是因为
所以,无非是
倘,便
倘,即
倘,就
倘,那么
倘,也
倘,则
倘若,便
倘若,即
倘若,就
倘若,那么
倘若,也
倘若,则
倘使,便
倘使,即
倘使,就
倘使,就
倘使,那么
倘使,也
倘使,则
倘是,就
同时,还
同时,也
同时,又
同样,也
万一,就
万一,也
万一如果,就
万一要是,就
惟其,所以
惟须,乃
惟有,才
无论,都
无论,也
无论,终究
无论,总
无论,总是
无论,总是
先,才
先,还
先,跟着
先,后来
先,继而
先,接着
接着,然后
先,然后
先,又
先,再
先是,后来
先是,继而
先是,接着
先是,然后
兴许,兴许
幸而,才
幸而,否则
幸而,要不
幸好,才
幸好,否则
幸好,要不
幸亏,才
幸亏,否则
幸亏,要不
许是,许是
要,便
要,就
要,要
要,也
要不然,就
要不是,便
要不是,就
要不是,也
要没有,就
要么,不然
要么,否则
要么,要么
要么,再不然
要么,再不
要是,便
要是,就
要是,那么
要是,也
要是万一,就
也,也
一,，
一,便
一,才
一,即
一,就
一,也
一,则
一,总是
一边,一边
一边儿,一边儿
一边,一边
一边,还一边
一边,一边又
一旦,便
一旦,即
一旦,就
一旦,也就
一方面,但另一方面
一方面,但是另一方面
一方面,可另一方面
一方面,可是另一方面
一方面,另一方面
一方面,另方面
一方面,一方面
一方面,另一方面却
一方面,一方面却
一方面,另一方面也
一方面,一方面也
一方面,一方面又
一方面,另一方面又
一方面,又一方面
一方面固然,但另一方面
一会儿,一会儿又
一会,一会又
一会,一会
一会儿,一会儿
一会儿,又一会儿
一经,便
一经,就
一来,二来
一来,二来也
一面,还一面
一面,却一面
一面,一面
一面,一面还
一面,一面却
一面,一面也
一面,一面又
一面固然,但一面
一面固然,但是一面
一面固然,一面却
一面虽,一面又
一面虽然,一面又
一头,一头
一则,二则
一则,一则
一则,再则
一者,二者
因,便
因为,不然
因,不然
因,才
因,而
因,否则
因,故
因,就
因,所以
因,于是
因为,便
因为,才
因为,而
因为,故
因为,故此
因为,就
因为,遂
因为,所以
因为,以至
因为,以致
因为,于是
因为,则
由于,便
由于,不然
由于,才
由于,从而
由于,否则
由于,就
由于,所以
由于,以至
由于,以致
由于,因此
由于,因而
又是,又是
于是,便
于是,就
于是,又
与其,不如
与其,倒不如
与其,倒还不如
与其,还不如
与其,宁可
与其,宁肯
与其,宁愿
与其,毋宁
与其,勿宁
与其,真不如
与其说,不如说
与其说,倒不如说
与其说,还不如说
愈,却愈
愈,愈
愈,愈加
愈,愈是
愈是,愈
愈是,愈是
越,却越
越,越
越,越发
越,越是
越是,越
再,都
再,就
再,也
之所以,是为了
之所以,是因为
之所以,是由于
只,而
只,却
只是,却
只是,才
只消,就
只消,就
只需,就
要,便
只要,都
只要,即
只要,就
只要,那么
只要,则
只要,总
只有,才
纵,也
纵令,但
纵令,也
纵令,又
纵然,也
纵然,又
纵使,也
