边,边
不,而
不是,而是
而,又
忽,忽
然而,忽而
或,或
或则,或则
或者,或者
既,也
既,亦
既,又
且,且
且不,单
且不,只
时,时
时而,时而
是,不是
也,也
一壁,一壁
一边,一边
一边,一面
一方面,一方面
一方面,另一方面
一忽儿,一忽而
一会,一会
一会儿,一会儿
一来,二来
一面,一面
—时,一时
一是,二是
一则,二则
一则,再则
一者,二者
有时,有时
又,又
至于,则
オ,就
オ,便
才,又
当初,后来
当初,现在
刚,便
刚,就
刚,又
起始,随即
起始,跟着
起初,跟着
起初,随即
起初,后来
起始,后来
起初,继而
始而,继而
起初,接着
起始,接着
起初,以后
起先,以后
起先,后来
首先,接著
首先,跟着
首先,随即
首先,其次
首先,然后
随,随
先,后
先,又
后,最后
又,最后
先,后来
先,其次
其次,最后
先,然后
然后,最后
先,又
先,再
先前,后来
先前,现在
先是,跟着
先是,接着
先是,随着(随即,随后)
先是,随即
先是,随后
一,便
一,就
又,还
又,就
又,便
又,然后
于是,便
于是,就
于是,又
原先,后来
原先,现在
最初,后来
别说,就是
就是,也
别说,连
连,都
别说连,也
不单,并且
不单,而且
不单,还
不单,就是
就是,也
不特,连
不单,连
连,也
不单,也
不单,又
不但,并且
不但,而且
不但,反而
不但,反
不但,反倒
不但,更
不但,还
不但,简直
不但,就是
就是,也
就是,都
即使,也
即使,都
不但,连
连,也
连,都
不但,且
不但,甚至
不但,甚至于
不但,甚而至于
不但,尤
不但,尤其
不但,也
不但,又
非特,还
不独,还
不特,还
不独,就是(即、即使)
就是,也
即使,也
即,也
不独,也
不光,而且
不光,更
不光,还
不光,就是
就是,也
不光,连
连,也
不光,也
不仅,并且
不仅,而且
不仅,反倒
不仅,反而
不仅,更
不仅,还
不仅,简直
不只,简直
不仅,就是
不仅,便是
不仅,便
就是,也
便,也
便是,也
不仅,连
连,也
不仅,甚至
不仅,也
不仅,又
不特,而且
不惟,而且
不特,并且
不惟,并且
不特,且
不独,且
不要说,还
不要说,就是
就是,也
也,不要说
不要说,也
也,不惟还
不惟,就是也
不惟,即也
不特,就是也
不惟,即也
不只,并且
不止,并且
不只,而且
不止,而且
不只,反而
不准,反而
不只,更
不只,还
不止,还
不只,就是
就是,也
不止,就是
不只,即使
即使,也
不止,即使
不只,连
不止,连
连,也
不只,也
不只,又
不止,也
不止,又
除了,外
除了,外,还
除了,外,也
除了,外,又
都,何况
非但,并且
非但,而且
非但,反而
非但,倒反
非但,反倒
非但,还
非但,也
非但,就是
就是,都
就是,也
即使,也
即使,都
非但,即使
岂但,就是
岂但,即使
非但,且
岂但,且
非特,而且
非徒,而且
而且,更
固然,而且
固然,并且
固,而且
固,并且
固然,就是
固,就是
固然,即
固,即
即,也
固然,还
固然,更
固然,尤
固然,连
固,连
连,也
固然,也
固,也
还,何况
既,更
既,还
也,更
既,又
又,更
既,也
既,又
又,还
也,还
既,且
既,而且
连,都
连,也
也,何况
慢说,就是
就是,也
岂但,并且
岂但,而且
岂但,还
岂止,还
岂但,简直
岂但,也
岂只,也
岂止,也
尚且,更
尚且,何况
也,并且
也,而且
又,并且
又,而且
也,更
也,还
不,宁
不是,便是
不是,就是
除了,就是
除了,只有
或许,或许
兴许,或许
兴许,或许
兴许,兴许
宁,不
宁可,不
宁可,也要
宁肖,也不
宁肯,也要
宁愿,不
宁愿,也要
如其,不如
是,还是
是,抑是
要,还不如
要么,要就是
要么,要么
要就是,要么
要就是,要就是
也许,也许
与其,不如
与其,倒不如
与其,还不如
与其,何如
与其,毋宁
但,却
但,却
但是,却
而,倒
而,偏
而,偏偏
而,却
而,则
固然,不过
固然,但
固然,但
固然,但是
固然,而
固然,可
然,可是
但,却
但,却
但是,却
而,倒
而,偏
而,偏偏
而,却
而,则
固然,不过
固然,但
固然,但
固然,但是
固然,而
固然,可
固然,可是
固然,却
固然,然而
尽管,但
尽管,但
但,却
尽管,但是
尽管,倒
尽管,而
尽管,还
尽管,还是
尽管,可
